slot_definition_slot	UNOFFICIAL_range_type	abstract	alias	aliases	close_mappings	comments	deprecated	description	domain	exact_mappings	examples	from_schema	identifier	ifabsent	in_subset	inherited	inlined	is_a	mappings	multivalued	name	notes	owner	range	range_expression	readonly	recommended	see_also	singular_name	slot_uri	status	todos
abstract	type_definition		abstract					an abstract class is a high level class or slot that is typically used to group common slots together and cannot be directly instantiated.	definition			https://w3id.org/linkml/meta			basic|object_oriented						abstract		slot_definition	boolean								
alias	type_definition		alias					the name used for a slot in the context of its owning class.  If present, this is used instead of the actual slot name.	slot_definition			https://w3id.org/linkml/meta									alias		slot_definition	string						skos:prefLabel		
aliases	type_definition		aliases	synonyms|alternate names|alternative labels|designations					element	schema:alternateName		https://w3id.org/linkml/meta			basic					True	aliases		slot_definition	string						skos:altLabel		
all_members	class_definition		all_members					"the value of the multiavlued slot is a list where all elements conform to the specified values.
this defines a dynamic class with named slots according to matching constraints

E.g to state that all members of a list are between 1 and 10
```
all_members:
  x:
    range: integer
    minimum_value: 10
    maximum_value: 10
```"				https://w3id.org/linkml/meta					True	list_value_specification_constant		True	all_members		slot_definition	slot_definition							testing	
all_of	class_definition		all_of					holds if all of the expressions hold		sh:and		https://w3id.org/linkml/meta						boolean_slot		True	all_of		slot_definition	anonymous_slot_expression								
alt_descriptions	class_definition		alt_descriptions	alternate definitions					element			https://w3id.org/linkml/meta			basic		True			True	alt_descriptions		slot_definition	alt_description								
annotations	class_definition		annotations					a collection of tag/text tuples with the semantics of OWL Annotation	annotatable			https://w3id.org/linkml/annotations					True	extensions		True	annotations		slot_definition	annotation								
any_of	class_definition		any_of					holds if at least one of the expressions hold		sh:or		https://w3id.org/linkml/meta						boolean_slot		True	any_of		slot_definition	anonymous_slot_expression								
apply_to	class_definition		apply_to					Used to extend class or slot definitions. For example, if we have a core schema where a gene has two slots for identifier and symbol, and we have a specialized schema for my_organism where we wish to add a slot systematic_name, we can avoid subclassing by defining a class gene_my_organism, adding the slot to this class, and then adding an apply_to pointing to the gene class. The new slot will be 'injected into' the gene class.	definition			https://w3id.org/linkml/meta								True	apply_to		slot_definition	slot_definition								
asymmetric	type_definition		asymmetric		owl:AsymmetricProperty	asymmetry is the combination of antisymmetry and irreflexivity		If s is antisymmetric, and i.s=v where i is different from v, v.s cannot have value i	slot_definition			https://w3id.org/linkml/meta						relational_logical_characteristic			asymmetric		slot_definition	boolean								
broad_mappings	type_definition		broad_mappings					A list of terms from different schemas or terminology systems that have broader meaning.				https://w3id.org/linkml/mappings						mappings		True	broad mappings		slot_definition	uriorcurie						skos:broadMatch		
children_are_mutually_disjoint	type_definition		children_are_mutually_disjoint					If true then all direct is_a children are mutually disjoint and share no instances in common	definition			https://w3id.org/linkml/meta									children_are_mutually_disjoint		slot_definition	boolean								
close_mappings	type_definition		close_mappings					A list of terms from different schemas or terminology systems that have close meaning.				https://w3id.org/linkml/mappings						mappings		True	close mappings		slot_definition	uriorcurie						skos:closeMatch		
comments	type_definition		comments					notes and comments about an element intended for external consumption	element	rdfs:comment		https://w3id.org/linkml/meta			owl|basic					True	comments		slot_definition	string						skos:note		
conforms_to	type_definition		conforms_to					An established standard to which the element conforms.	element			https://w3id.org/linkml/meta			owl|basic						conforms_to		slot_definition	string						dcterms:conformsTo		
created_by	type_definition		created_by					agent that created the element	element			https://w3id.org/linkml/meta			basic						created_by		slot_definition	uriorcurie						pav:createdBy		
created_on	type_definition		created_on					time at which the element was created	element			https://w3id.org/linkml/meta			basic						created_on		slot_definition	datetime						pav:createdOn		
definition_uri	type_definition		definition_uri			Formed by combining the default_prefix with the mangled element		"the ""native"" URI of the element"	element			https://w3id.org/linkml/meta									definition_uri		slot_definition	uriorcurie		filled in by the schema loader						
deprecated	type_definition		deprecated		owl:deprecated			Description of why and when this element will no longer be used	element			https://w3id.org/linkml/meta			basic						deprecated		slot_definition	string								
deprecated_element_has_exact_replacement	type_definition		deprecated_element_has_exact_replacement					When an element is deprecated, it can be automatically replaced by this uri or curie				https://w3id.org/linkml/mappings							IAO:0100001		deprecated element has exact replacement		slot_definition	uriorcurie								
deprecated_element_has_possible_replacement	type_definition		deprecated_element_has_possible_replacement					When an element is deprecated, it can be potentially replaced by this uri or curie				https://w3id.org/linkml/mappings							OIO:consider		deprecated element has possible replacement		slot_definition	uriorcurie								
description	type_definition		description	definition				a description of the element's purpose and use	element	dcterms:description|schema:description		https://w3id.org/linkml/meta			basic						description		slot_definition	string			True			skos:definition		
designates_type	type_definition		designates_type	type designator				True means that the key slot(s) is used to determine the instantiation (types) relation between objects and a ClassDefinition	slot_definition			https://w3id.org/linkml/meta				True					designates_type		slot_definition	boolean								
disjoint_with	class_definition		disjoint_with					Two classes are disjoint if they have no instances in common, two slots are disjoint if they can never hold between the same two instances	definition			https://w3id.org/linkml/meta								True	disjoint_with		slot_definition	slot_definition								
domain	class_definition		domain					"defines the type of the subject of the slot.  Given the following slot definition
  S1:
    domain: C1
    range:  C2
the declaration
  X:
    S1: Y

implicitly asserts that X is an instance of C1
"	slot_definition			https://w3id.org/linkml/meta				True					domain		slot_definition	class_definition								
domain_of	class_definition		domain_of					"the class(es) that reference the slot in a ""slots"" or ""slot_usage"" context"	slot_definition			https://w3id.org/linkml/meta								True	domain_of		slot_definition	class_definition		filled in by the loader						
enum_range	class_definition		enum_range					An inlined enumeration				https://w3id.org/linkml/meta									enum_range		slot_definition	enum_expression								
equals_expression	type_definition		equals_expression			for example, a 'length' slot may have an equals_expression with value '(end-start)+1'		the value of the slot must equal the value of the evaluated expression				https://w3id.org/linkml/meta				True		list_value_specification_constant			equals_expression		slot_definition	string				https://github.com/linkml/linkml/issues/75			unstable	specify expression language
equals_number	type_definition		equals_number					the slot must have range of a number and the value of the slot must equal the specified value				https://w3id.org/linkml/meta				True		list_value_specification_constant			equals_number		slot_definition	integer							unstable	
equals_string	type_definition		equals_string					the slot must have range string and the value of the slot must equal the specified value				https://w3id.org/linkml/meta				True		list_value_specification_constant			equals_string		slot_definition	string							testing	
equals_string_in	type_definition		equals_string_in					the slot must have range string and the value of the slot must equal one of the specified values				https://w3id.org/linkml/meta				True		list_value_specification_constant		True	equals_string_in		slot_definition	string							testing	
exact_mappings	type_definition		exact_mappings					A list of terms from different schemas or terminology systems that have identical meaning.				https://w3id.org/linkml/mappings						mappings		True	exact mappings		slot_definition	uriorcurie						skos:exactMatch		
exactly_one_of	class_definition		exactly_one_of					holds if only one of the expressions hold		sh:xone		https://w3id.org/linkml/meta						boolean_slot		True	exactly_one_of		slot_definition	anonymous_slot_expression								
examples	class_definition		examples		vann:example			example usages of an element	element			https://w3id.org/linkml/meta			owl|basic		True			True	examples		slot_definition	example					example			
extensions	class_definition		extensions					a tag/text tuple attached to an arbitrary element	extensible			https://w3id.org/linkml/extensions					True			True	extensions		slot_definition	extension								
from_schema	type_definition		from_schema					id of the schema that defined the element	element			https://w3id.org/linkml/meta									from_schema	A stronger model would be range schema_definition, but this doesn't address the import model	slot_definition	uri		supplied by the schema loader				skos:inScheme		
has_member	class_definition		has_member					the values of the slot is multivalued with at least one member satisfying the condition				https://w3id.org/linkml/meta					True	list_value_specification_constant			has_member		slot_definition	anonymous_slot_expression							testing	
id_prefixes	type_definition		id_prefixes			Order of elements may be used to indicate priority order|If identifiers are treated as CURIEs, then the CURIE must start with one of the indicated prefixes followed by `:` (_should_ start if the list is open)|If identifiers are treated as URIs, then the URI string must start with the expanded for of the prefix (_should_ start if the list is open)		the identifier of this class or slot must begin with the URIs referenced by this prefix	element			https://w3id.org/linkml/meta			basic					True	id_prefixes		slot_definition	ncname				https://github.com/linkml/linkml/issues/194|https://github.com/linkml/linkml-model/issues/28				
identifier	type_definition		identifier	primary key|ID|UID|code		identifier is inherited|a key slot is automatically required.  Identifiers cannot be optional|a given domain can have at most one identifier|identifiers and keys are mutually exclusive.  A given domain cannot have both		True means that the key slot(s) uniquely identify the container. There can be at most one identifier or key per container	slot_definition			https://w3id.org/linkml/meta			minimal|basic|relational_model	True					identifier		slot_definition	boolean				https://en.wikipedia.org/wiki/Identifier				
ifabsent	type_definition		ifabsent		sh:defaultValue			"function that provides a default value for the slot.  Possible values for this slot are defined in
linkml_runtime.utils.ifabsent_functions.default_library:
  * [Tt]rue -- boolean True
  * [Ff]alse -- boolean False
  * int(value) -- integer value
  * str(value) -- string value
  * default_range -- schema default range
  * bnode -- blank node identifier
  * slot_uri -- URI for the slot
  * class_curie -- CURIE for the containing class
  * class_uri -- URI for the containing class"	slot_definition			https://w3id.org/linkml/meta				True					ifabsent		slot_definition	string								
implicit_prefix	type_definition		implicit_prefix					Causes the slot value to be interpreted as a uriorcurie after prefixing with this string	slot_expression			https://w3id.org/linkml/meta									implicit_prefix		slot_definition	string								
