class	slot	abstract	alias	aliases	apply_to	asymmetric	broad_mappings	children_are_mutually_disjoint	class_uri	close_mappings	comments	conforms_to	created_by	created_on	defining_slots	deprecated	deprecated_element_has_exact_replacement	deprecated_element_has_possible_replacement	description	designates_type	disjoint_with	domain	equals_expression	equals_number	equals_string	equals_string_in	exact_mappings	examples	has_member	id_prefixes	identifier	ifabsent	in_language	in_subset	inherited	inlined	inlined_as_list	inverse	irreflexive	is_a	is_class_field	is_grouping_slot	key	last_updated_on	list_elements_ordered	list_elements_unique	locally_reflexive	mappings	maximum_cardinality	maximum_value	minimum_cardinality	minimum_value	mixin	mixins	modified_by	multivalued	narrow_mappings	notes	path_rule	pattern	range	rank	readonly	recommended	reflexive	reflexive_transitive_form_of	related_mappings	relational_role	represents_relationship	required	role	see_also	shared	singular_name	slot_conditions	slot_group	slot_names_unique	slot_uri	source	status	string_serialization	structured_pattern	subclass_of	subproperty_of	symmetric	title	todos	transitive	transitive_form_of	tree_root	union_of	values_from
> class	slot	abstract	alias	aliases	apply_to	asymmetric	broad_mappings	children_are_mutually_disjoint	class_uri	close_mappings	comments	conforms_to	created_by	created_on	defining_slots	deprecated	deprecated_element_has_exact_replacement	deprecated_element_has_possible_replacement	description	designates_type	disjoint_with	domain	equals_expression	equals_number	equals_string	equals_string_in	exact_mappings	examples	has_member	id_prefixes	identifier	ifabsent	in_language	in_subset	inherited	inlined	inlined_as_list	inverse	irreflexive	is_a	is_class_field	is_grouping_slot	key	last_updated_on	list_elements_ordered	list_elements_unique	locally_reflexive	mappings	maximum_cardinality	maximum_value	minimum_cardinality	minimum_value	mixin	mixins	modified_by	multivalued	narrow_mappings	notes	path_rule	pattern	range	rank	readonly	recommended	reflexive	reflexive_transitive_form_of	related_mappings	relational_role	represents_relationship	required	role	see_also	shared	singular_name	slot_conditions	slot_group	slot_names_unique	slot_uri	source	status	string_serialization	structured_pattern	subclass_of	subproperty_of	symmetric	title	todos	transitive	transitive_form_of	tree_root	union_of	values_from
ValidationReport	results		results																																																					True					ValidationResult																															
ValidationReport									sh:ValidationReport										A report object																																																																				add prov object					
ValidationResult	info		info																																																										string																															
ValidationResult	instantiates		instantiates																								sh:sourceShape																																		nodeidentifier																															
ValidationResult	node_source		node_source																																																										nodeidentifier																															
ValidationResult	object		object																																																										nodeidentifier																	sh:value														
ValidationResult	object_str		object_str																																																										string																															
ValidationResult	predicate		predicate																																																										nodeidentifier						sh:resultPath																									
ValidationResult	severity		severity																																																										severity_options																															
ValidationResult	subject		subject																																																										nodeidentifier																	sh:focusNode														
ValidationResult	type		type																																																										nodeidentifier																	sh:sourceConstraintComponent														
ValidationResult									sh:ValidationResult										An individual result arising from validation of a data instance using a particular rule																																																																									
alt_description	description		description																text of an attributed description			alt_description												basic																											string									True																						
alt_description	source		source																the source of an attributed description			alt_description												basic									True																		string																															
alt_description																			an attributed description															basic																																																										
