name,range,multivalued
slots,slot_definition,True
slot_usage,slot_definition,True
attributes,slot_definition,True
class_uri,uriorcurie,
subclass_of,uriorcurie,
union_of,class_definition,True
defining_slots,slot_definition,True
tree_root,boolean,
unique_keys,unique_key,True
rules,class_rule,True
classification_rules,anonymous_class_expression,True
slot_names_unique,boolean,
represents_relationship,boolean,
disjoint_with,class_definition,True
children_are_mutually_disjoint,boolean,
any_of,anonymous_class_expression,True
exactly_one_of,anonymous_class_expression,True
none_of,anonymous_class_expression,True
all_of,anonymous_class_expression,True
slot_conditions,slot_definition,True
is_a,class_definition,
abstract,boolean,
mixin,boolean,
mixins,class_definition,True
apply_to,class_definition,True
values_from,uriorcurie,True
created_by,uriorcurie,
created_on,datetime,
last_updated_on,datetime,
modified_by,uriorcurie,
status,uriorcurie,
string_serialization,string,
name,string,
id_prefixes,ncname,True
definition_uri,uriorcurie,
local_names,local_name,True
conforms_to,string,
extensions,extension,True
annotations,annotation,True
description,string,
alt_descriptions,alt_description,True
title,string,
deprecated,string,
todos,string,True
notes,string,True
comments,string,True
examples,example,True
in_subset,subset_definition,True
from_schema,uri,
imported_from,string,
source,uriorcurie,
in_language,string,
see_also,uriorcurie,True
deprecated element has exact replacement,uriorcurie,
deprecated element has possible replacement,uriorcurie,
aliases,string,True
structured_aliases,structured_alias,True
mappings,uriorcurie,True
exact mappings,uriorcurie,True
close mappings,uriorcurie,True
related mappings,uriorcurie,True
narrow mappings,uriorcurie,True
broad mappings,uriorcurie,True
rank,integer,
