class x string	slot x string	description: 0..1 (recommended)	from_schema: 0..1 x uri	range: 0..1 x element	multivalued: 0..1 x boolean	domain: 0..1 x class_definition	mixins: 0..* x definition	is_a: 0..1 x definition	required: 0..1 x boolean	comments: 0..*	aliases: 0..* x string	see_also: 0..* x uriorcurie	in_subset: 0..* x subset_definition	slot_uri: 0..1 x uriorcurie	todos: 0..* x string	examples: 0..* x example	id_prefixes: 0..* x ncname	source: 0..1 x uriorcurie	broad_mappings: 0..* x uriorcurie	inlined_as_list: 0..1 x boolean	exact_mappings: 0..* x uriorcurie
> class	slot	description	from_schema	range	multivalued	domain	mixins	is_a	required	comments	aliases	see_also	in_subset	slot_uri	todos	examples	id_prefixes	source	broad_mappings	inlined_as_list	exact_mappings
>							"internal_separator: ""|"""			"internal_separator: ""|"""	"internal_separator: ""|"""	"internal_separator: ""|"""	"internal_separator: ""|"""		"internal_separator: ""|"""	"internal_separator: ""|"""	"internal_separator: ""|"""		"internal_separator: ""|"""		"internal_separator: ""|"""
biosample		A material sample. It may be environmental (encompassing many organisms) or isolate or tissue.   An environmental sample containing genetic material from multiple individuals is commonly referred to as a biosample.	https://microbiomedata/schema					named thing			sample|material sample|specimen|biospecimen		sample subset				GOLD				OBI:0000747|NCIT:C43412
study		A study summarizes the overall goal of a research initiative and outlines the key objective of its underlying projects.	https://microbiomedata/schema					named thing			proposal|research proposal|research study|investigation|project|umbrella project		sample subset		determine how to get data values for submitted_to_insdc, investigation_type, experimental_factor|project_name is redundant with name, so excluding it		GOLD|insdc.srs|mgnify		prov:Activity		SIO:001066|NCIT:C63536|OBI:0000066|ISA:Study
	EMSL_store_temp	Temperature at which the sample sent to EMSL should be stored	https://microbiomedata/schema/emsl						False	Enter a temperature in celsius. Numeric portion only.						-80					
study	GOLD sample identifiers																				
study	INSDC bioproject identifiers																				
	abstract	The abstract of manuscript/grant associated with the entity; i.e., a summary of the resource.	https://microbiomedata/schema/core	string																	dcterms:abstract
	add_date	The date on which the information was added to the database.	https://microbiomedata/schema	string																	
	agrochem_addition	Addition of fertilizers, pesticides, etc. - amount and time of applications	https://microbiomedata/schema/mixs	quantity value	False			attribute			history/agrochemical additions	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000639		roundup;5 milligram per liter;2018-06-21		http://w3id.org/mixs/terms			
	air_temp_regm	Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens	https://microbiomedata/schema/mixs	quantity value	False			attribute			air temperature regimen	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000551		25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M		http://w3id.org/mixs/terms			
	al_sat	Aluminum saturation (esp. For tropical soils)	https://microbiomedata/schema/mixs	quantity value	False			attribute			extreme_unusual_properties/Al saturation	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000607				http://w3id.org/mixs/terms			
	al_sat_meth	Reference or method used in determining Al saturation	https://microbiomedata/schema/mixs	text value	False			attribute			extreme_unusual_properties/Al saturation method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000324				http://w3id.org/mixs/terms			
	alkalinity	Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	https://microbiomedata/schema/mixs	quantity value	False			attribute			alkalinity	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000421		50 milligram per liter		http://w3id.org/mixs/terms			
	alkalinity_method	Method used for alkalinity measurement	https://microbiomedata/schema/mixs	text value	False			attribute			alkalinity method	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000298		titration		http://w3id.org/mixs/terms			
	alkyl_diethers	Concentration of alkyl diethers	https://microbiomedata/schema/mixs	quantity value	False			attribute			alkyl diethers	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000490		0.005 mole per liter		http://w3id.org/mixs/terms			
	alt	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	https://microbiomedata/schema/mixs	quantity value	False			attribute			altitude	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000094		100 meter		http://w3id.org/mixs/terms			
study	alternative names																				
	aminopept_act	Measurement of aminopeptidase activity	https://microbiomedata/schema/mixs	quantity value	False			attribute			aminopeptidase activity	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000172		0.269 mole per liter per hour		http://w3id.org/mixs/terms			
	ammonium	Concentration of ammonium in the sample	https://microbiomedata/schema/mixs	quantity value	False			attribute			ammonium	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000427		1.5 milligram per liter		http://w3id.org/mixs/terms			
	analysis_type	Select all the data types associated or available for this biosample	https://microbiomedata/schema/sample_id	analysis_type_enum	True				False			MIxS:investigation_type				metagenomics; metabolomics; proteomics					
	annual_precpt	The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.	https://microbiomedata/schema/mixs	quantity value	False			attribute			mean annual precipitation	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000644				http://w3id.org/mixs/terms			
	annual_temp	Mean annual temperature	https://microbiomedata/schema/mixs	quantity value	False			attribute			mean annual temperature	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000642		12.5 degree Celsius		http://w3id.org/mixs/terms			
	bacteria_carb_prod	Measurement of bacterial carbon production	https://microbiomedata/schema/mixs	quantity value	False			attribute			bacterial carbon production	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py		MIXS:0000173		2.53 microgram per liter per hour		http://w3id.org/mixs/terms			
